,Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
0,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A5,,Print in Black Frame,,,skuarttA4106067,0,,continue,manual,12.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,12.99,active
1,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A5,,Print in White Frame,,,skuarttA4106067,0,,continue,manual,12.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
2,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A5,,PRINT ONLY,,,skuarttA4106067,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
3,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A4,,Print in Black Frame,,,skuarttA4106067,0,,continue,manual,22.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
4,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A4,,Print in White Frame,,,skuarttA4106067,0,,continue,manual,22.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
5,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A4,,PRINT ONLY,,,skuarttA4106067,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
6,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A3,,Print in Black Frame,,,skuarttA4106067,0,,continue,manual,29.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
7,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A3,,Print in White Frame,,,skuarttA4106067,0,,continue,manual,29.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
8,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A3,,PRINT ONLY,,,skuarttA4106067,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
9,the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,A2,,Print in Black Frame,,,skuarttA4106067,0,,continue,manual,44.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,, ,active
