State Names,UN Membership,Sovereignty,More Information
Afghanistan– Islamic Emirate of Afghanistan,AUN member state,ANone,"The ruling Islamic Emirate of Afghanistan, in power since 2021,has not been recognisedby the United Nations or any other state. The defunctIslamic Republic of Afghanistanremains the recognised government.[5][6]"
Albania– Republic of Albania,AUN member state,ANone,
Algeria– People's Democratic Republic of Algeria,AUN member state,ANone,
Andorra– Principality of Andorra,AUN member state,ANone,"Andorra is aco-principalityin which the office of head of state is jointly heldex officioby theFrench presidentand the bishop of the Roman Catholicdiocese of Urgell,[7]who himself is appointed with approval from theHoly See."
Angola– Republic of Angola,AUN member state,ANone,
Antigua and Barbuda,AUN member state,ANone,"Antigua and Barbuda is aCommonwealth realm[g]with one autonomous region,Barbuda.[8][h]"
Argentina– Argentine Republic[i],AUN member state,ANone,Argentina is afederationof23 provinces and one autonomous city.[j]
Armenia– Republic of Armenia,AUN member state,Not recognised byPakistan,Armenia isnot recognisedby Pakistan due tothe disputeoverArtsakh.[10][11][12][needs update]
Australia– Commonwealth of Australia,AUN member state,ANone,"Australia is aCommonwealth realm[g]and afederationof bothstates and territories. There are six states, three internal territories, six external territories and oneclaimedAntarctic external territory. The external territories of Australia are:Ashmore and Cartier IslandsChristmas IslandCocos (Keeling) IslandsCoral Sea Islands TerritoryHeard Island and McDonald IslandsNorfolk IslandAustralian Antarctic Territory"
Austria– Republic of Austria,AUN member state,ANone,Member of theEuropean Union.[e]Austria is afederationofnine states.
Azerbaijan– Republic of Azerbaijan[k],AUN member state,ANone,"Azerbaijan contains one autonomous region,Nakhchivan.[h]"
"Bahamas, The– Commonwealth of The Bahamas[14]",AUN member state,ANone,The Bahamas is aCommonwealth realm.[g]
Bahrain– Kingdom of Bahrain,AUN member state,ANone,
Bangladesh– People's Republic of Bangladesh,AUN member state,ANone,
Barbados,AUN member state,ANone,
Belarus– Republic of Belarus,AUN member state,ANone,Many statesrescinded their recognitionof PresidentAlexander Lukashenkofollowingthe disputed 2020 election.Lithuaniacurrently recognisesSviatlana Tsikhanouskaya'sCoordination Councilas the legitimate government of Belarus.[15]
Belgium– Kingdom of Belgium,AUN member state,ANone,Member of the EU.[e]Belgium is afederationofthree linguistic communities and three regions.
Belize,AUN member state,ANone,Belize is aCommonwealth realm.[g]
Benin– Republic of Benin,AUN member state,ANone,
Bhutan– Kingdom of Bhutan,AUN member state,ANone,
Bolivia– Plurinational State of Bolivia,AUN member state,ANone,
Bosnia and Herzegovina,AUN member state,ANone,"Bosnia and Herzegovina has two constituententities:Federation of Bosnia and HerzegovinaRepublika SrpskaandBrčko District, a self-governing administrativedistrict.[16]"
Botswana– Republic of Botswana,AUN member state,ANone,
Brazil– Federative Republic of Brazil,AUN member state,ANone,Brazil is afederationof26 states and one federal district.
Brunei– Brunei Darussalam,AUN member state,ANone,
Bulgaria– Republic of Bulgaria,AUN member state,ANone,Member of the EU.[e]
Burkina Faso,AUN member state,ANone,
Burundi– Republic of Burundi,AUN member state,ANone,
Cambodia– Kingdom of Cambodia,AUN member state,ANone,
Cameroon– Republic of Cameroon,AUN member state,ANone,
Canada[l],AUN member state,ANone,Canada is aCommonwealth realm[g]and afederationof10 provinces and three territories.
Cape Verde– Republic of Cabo Verde[m],AUN member state,ANone,
Central African Republic,AUN member state,ANone,
Chad– Republic of Chad,AUN member state,ANone,
Chile– Republic of Chile,AUN member state,ANone,"Chile has one special territory,Easter Island.[n]"
China– People's Republic of China[o],AUN member state,Partially unrecognised.BClaimed byAfghanistanClaimed byGeorgiaClaimed byNorth KoreaClaimed bySerbiaClaimed bySomaliaClaimed by thePeople's Republic of ChinaClaimed by theRepublic of ChinaClaimed bySouth KoreaClaimed byAzerbaijanClaimed by theRepublic of CyprusDisputed byIsraelClaimed byIndonesiaClaimed by theMarshall IslandsClaimed byMauritiusClaimed byMoroccoClaimed byMoldovaClaimed byMaliClaimed bySpainClaimed byArgentinaClaimed byUkraine,"China contains five autonomous regions,Guangxi,Inner Mongolia,Ningxia,Tibet, andXinjiang.[h]Additionally, it has sovereignty over twoSpecial Administrative Regions:Hong KongMacaoChina claims, but does not control,Taiwan, which is governed by a rival administration (the Republic of China) that claims all of China as its territory.[p]China is not recognised by11UN member states andVatican City, which, with the exception ofBhutan, all recognise the Republic of China (Taiwan) instead.[q]"
Colombia– Republic of Colombia,AUN member state,ANone,
Comoros– Union of the Comoros,AUN member state,ANone,Comoros is afederationofthree islands.[r]
"Congo, Democratic Republic of the[s]",AUN member state,ANone,
"Congo, Republic of the[t]",AUN member state,ANone,
Costa Rica– Republic of Costa Rica,AUN member state,ANone,
Croatia– Republic of Croatia,AUN member state,ANone,Member of the EU.[e]
Cuba– Republic of Cuba,AUN member state,ANone,
Cyprus– Republic of Cyprus,AUN member state,Not recognised byTurkey[19],"Member of the EU.[e]The northeastern part of the island is the de facto state ofNorthern Cyprus.Cyprus is not recognised byTurkeydue to theCyprus problem, with Turkey recognisingNorthern Cyprus."
Czech Republic[u],AUN member state,ANone,Member of the EU.[e]
Denmark– Kingdom of Denmark,AUN member state,ANone,"Member of the EU.[e]TheKingdom of Denmarkincludes two self-governing territories:Faroe IslandsGreenlandThemetropolitan territory of Denmark, the Faroe Islands and Greenland form the three constituent countries of the Kingdom.[v]The Kingdom of Denmark as a whole is a member of the EU, butEU law(in most cases) does not apply to the Faroe Islands and Greenland. SeeGreenland and the European Union, andFaroe Islands and the European Union.[20][21]"
Djibouti– Republic of Djibouti,AUN member state,ANone,
Dominica– Commonwealth of Dominica,AUN member state,ANone,
Dominican Republic,AUN member state,ANone,
Ecuador– Republic of Ecuador,AUN member state,ANone,
Egypt– Arab Republic of Egypt,AUN member state,ANone,
El Salvador– Republic of El Salvador,AUN member state,ANone,
Equatorial Guinea– Republic of Equatorial Guinea,AUN member state,ANone,
Eritrea– State of Eritrea,AUN member state,ANone,
Estonia– Republic of Estonia,AUN member state,ANone,Member of the EU.[e]
Eswatini– Kingdom of Eswatini[w],AUN member state,ANone,
Ethiopia– Federal Democratic Republic of Ethiopia,AUN member state,ANone,Ethiopia is afederationof12 regions and two chartered cities.
Fiji– Republic of Fiji,AUN member state,ANone,"Fiji contains one autonomous region,Rotuma.[h][22][23]"
Finland– Republic of Finland,AUN member state,ANone,Member of the EU.[e]Ålandis a neutral and demilitarized autonomous region of Finland.[h][x]
France– French Republic,AUN member state,ANone,"Member of the EU.[e]France contains fiveoverseas regions/departments;French Guiana,Guadeloupe,Martinique,Mayotte, andRéunion. France also includes eightoverseas territories:Clipperton IslandFrench PolynesiaNew CaledoniaSaint BarthélemySaint MartinSaint Pierre and MiquelonWallis and FutunaFrench Southern and Antarctic Lands[y]"
Gabon– Gabonese Republic,AUN member state,ANone,
"Gambia, The– Republic of The Gambia[24]",AUN member state,ANone,
Georgia,AUN member state,ANone,"Georgia contains two autonomous republics,AdjaraandAbkhazia.[h]InAbkhaziaandSouth Ossetia, de facto states have been formed."
Germany– Federal Republic of Germany,AUN member state,ANone,Member of the EU.[e]Germany is afederationof16 states.
Ghana– Republic of Ghana,AUN member state,ANone,
Greece– Hellenic Republic,AUN member state,ANone,"Member of the EU.[e]Greece contains one autonomous area,Mount Athos.[25]"
Grenada,AUN member state,ANone,Grenada is aCommonwealth realm.[g]
Guatemala– Republic of Guatemala,AUN member state,ANone,
Guinea– Republic of Guinea[z],AUN member state,ANone,
Guinea-Bissau– Republic of Guinea-Bissau,AUN member state,ANone,
Guyana– Co-operative Republic of Guyana,AUN member state,ANone,
Haiti– Republic of Haiti,AUN member state,ANone,
Honduras– Republic of Honduras,AUN member state,ANone,
Hungary,AUN member state,ANone,Member of the EU.[e]
Iceland[aa],AUN member state,ANone,
India– Republic of India,AUN member state,ANone,India is afederationof28 states and eight union territories.
Indonesia– Republic of Indonesia,AUN member state,ANone,"Indonesia has nine autonomousprovinces:Aceh,Jakarta,Central Papua,Highland Papua,Papua,South Papua,Southwest Papua,West Papua, andYogyakarta.[h]"
Iran– Islamic Republic of Iran,AUN member state,ANone,
Iraq– Republic of Iraq,AUN member state,ANone,"Iraq is afederation[r][29]of19 governorates, four of which make up the autonomousKurdistan Region.[h]"
Ireland[ab],AUN member state,ANone,Member of the EU.[e]
Israel– State of Israel,AUN member state,Partially unrecognised,"Israel exerts strong control over the territory claimed byPalestine. It has annexedEast Jerusalem,[31]an act not recognised by the international community.[32]Israel hasvarying levels of controlover the rest of theWest Bank, and although it ended itspermanent civilian or military presencein theGaza Strip, it is still considered to be the occupying power under international law.[33][34][35][36]Israel is not recognised as a state by28 UN membersand theSahrawi Arab Democratic Republic. ThePalestine Liberation Organization, recognised by a majority of UN member states as the representative of the Palestinian people,recognised Israel in 1993."
Italy– Italian Republic,AUN member state,ANone,"Member of the EU.[e]Italyhas five autonomous regions:Aosta Valley,Friuli-Venezia Giulia,Sardinia,SicilyandTrentino-Alto Adige/Südtirol.[h]"
Ivory Coast– Republic of Côte d'Ivoire[ac],AUN member state,ANone,
Jamaica,AUN member state,ANone,Jamaica is aCommonwealth realm.[g]
Japan,AUN member state,ANone,
Jordan– Hashemite Kingdom of Jordan,AUN member state,ANone,
Kazakhstan– Republic of Kazakhstan,AUN member state,ANone,
Kenya– Republic of Kenya,AUN member state,ANone,
Kiribati– Republic of Kiribati,AUN member state,ANone,
Kuwait– State of Kuwait,AUN member state,ANone,
Kyrgyzstan– Kyrgyz Republic,AUN member state,ANone,
Laos– Lao People's Democratic Republic,AUN member state,ANone,
Latvia– Republic of Latvia,AUN member state,ANone,Member of the EU.[e]
Lebanon– Republic of Lebanon,AUN member state,ANone,
Lesotho– Kingdom of Lesotho,AUN member state,ANone,
Liberia– Republic of Liberia,AUN member state,ANone,
Libya– State of Libya,AUN member state,ANone,
Liechtenstein– Principality of Liechtenstein,AUN member state,ANone,
Lithuania– Republic of Lithuania,AUN member state,ANone,Member of the EU.[e]
Luxembourg– Grand Duchy of Luxembourg,AUN member state,ANone,Member of the EU.[e]
Madagascar– Republic of Madagascar,AUN member state,ANone,
Malawi– Republic of Malawi,AUN member state,ANone,
Malaysia,AUN member state,ANone,Malaysia is afederationof13 states and three federal territories.
Maldives– Republic of Maldives,AUN member state,ANone,
Mali– Republic of Mali,AUN member state,ANone,
